i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,i_60,i_61,i_62,i_63,i_64,i_65,i_66,i_67,i_68,i_69,i_70,i_71,i_72,i_73,i_74,i_75,i_76,i_77,i_78,i_79,i_80,i_81,i_82,i_83,i_84,i_85,i_86,i_87,i_88,i_89,i_90,i_91,i_92,i_93,i_94,i_95,i_96,i_97,i_98,i_99,i_100,i_101,i_102,i_103,i_104,i_105,i_106,i_107,i_108,i_109,i_110,i_111,i_112,i_113,i_114,i_115,i_116,i_117,i_118,i_119,target,mean,std,median,max,min,maxmin,small,medium,large,huge
51,53,55,50,45,46,49,57,49,56,49,53,52,45,50,52,48,53,48,51,56,51,43,56,43,52,47,54,45,44,56,51,49,45,56,58,47,40,52,45,47,53,54,58,51,47,49,55,45,43,48,60,56,50,51,56,60,42,60,55,55,48,60,53,50,48,57,46,40,57,49,45,50,48,52,60,56,43,47,54,53,53,52,42,49,45,53,48,45,60,52,56,54,55,55,47,41,50,50,43,52,48,42,51,50,47,53,55,44,46,42,54,60,60,50,47,45,44,53,50,BF,0.336277778,0.036235518,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
53,55,52,57,41,60,42,45,54,58,55,51,54,51,54,59,57,50,49,43,54,57,51,52,45,55,57,53,42,52,48,44,58,51,47,50,53,53,53,55,45,58,40,46,54,51,52,44,48,43,53,53,56,54,50,51,44,55,47,43,40,45,59,47,60,54,42,55,50,55,55,46,53,43,42,51,46,53,47,45,56,44,47,52,43,59,55,43,54,41,48,43,59,53,45,45,50,58,54,46,50,60,45,54,42,48,54,53,55,43,52,58,43,50,45,48,46,50,54,41,BF,0.337111111,0.037511115,0.34,0.4,0.266666667,1.5,0,0.441666667,0.558333333,0
57,49,45,52,55,53,46,57,53,50,50,50,54,40,49,54,52,57,56,49,52,44,52,45,40,56,49,46,47,56,52,50,60,47,48,49,48,45,58,47,57,53,44,46,57,60,49,41,49,57,59,48,50,41,43,40,47,44,53,59,47,44,45,60,54,52,50,60,58,50,42,52,55,58,42,49,52,43,49,44,49,45,43,50,50,50,41,55,59,54,48,50,59,41,52,48,53,55,42,43,50,50,50,50,40,52,54,44,52,46,54,52,53,45,43,45,60,54,48,48,BF,0.338888889,0.03957131,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0
47,60,43,48,48,54,51,55,51,51,46,48,60,56,42,51,45,44,57,48,50,59,60,50,55,51,51,46,59,51,49,58,40,41,47,42,59,47,52,44,45,43,49,55,44,49,52,52,56,57,44,43,42,50,55,50,55,49,60,45,50,52,40,45,49,49,55,49,50,46,49,51,59,41,60,50,41,52,57,57,41,50,49,46,43,49,57,55,49,53,52,44,49,46,58,55,52,49,52,52,55,43,55,52,50,40,51,45,52,55,49,53,55,42,49,51,43,51,43,48,BF,0.3345,0.034545603,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
52,49,51,55,44,49,58,49,49,43,56,60,60,56,47,51,58,60,60,47,54,41,50,57,53,51,57,55,51,45,56,49,51,54,42,58,49,40,53,43,56,46,52,53,60,60,60,60,47,58,59,51,50,44,41,54,48,45,60,49,57,51,48,40,42,51,44,59,48,58,50,43,46,60,60,54,48,60,60,52,45,48,54,42,60,60,52,53,56,48,45,58,48,52,49,60,49,60,54,49,49,45,52,60,60,60,60,55,44,60,52,46,44,45,50,60,47,49,48,60,BF,0.334055556,0.034503774,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
58,45,51,59,54,40,47,54,59,43,48,43,54,53,57,52,42,52,59,58,48,57,41,48,45,54,55,50,41,50,50,44,43,40,40,52,50,52,48,57,53,44,53,52,41,47,51,53,53,54,56,56,51,57,43,46,52,50,51,48,47,53,46,45,59,55,51,54,40,56,44,58,40,44,52,56,49,57,40,52,49,60,57,41,50,52,56,60,41,45,49,48,42,43,52,54,50,46,56,60,48,53,51,40,41,47,42,53,46,50,47,49,54,51,57,52,47,60,51,56,BF,0.335944444,0.035888569,0.333333333,0.4,0.266666667,1.5,0,0.525,0.475,0
46,60,51,54,52,48,41,51,53,54,46,50,48,45,59,50,53,52,45,48,48,60,55,41,55,59,44,54,59,40,47,51,58,47,58,58,45,48,48,59,60,41,47,43,48,54,48,43,53,54,60,46,53,48,49,47,59,59,59,56,47,44,44,57,50,43,59,52,56,47,53,54,44,48,43,48,45,51,54,59,47,48,53,41,50,53,51,53,50,50,49,54,47,50,55,41,47,53,41,58,50,48,44,52,46,44,49,49,55,43,56,52,53,48,54,52,53,48,41,54,BF,0.336277778,0.037201807,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0
54,48,49,57,44,57,52,49,55,52,60,48,52,53,41,45,52,58,47,55,60,48,49,49,58,40,52,41,46,55,60,50,50,52,56,43,54,40,51,48,40,56,44,55,55,52,53,51,57,54,40,55,58,51,47,41,58,56,43,52,49,58,54,55,43,57,45,48,49,43,53,49,43,52,49,48,55,52,41,51,50,49,48,56,57,41,46,49,48,42,54,48,53,43,48,51,44,49,55,58,46,50,46,45,52,44,48,47,48,55,55,54,60,44,50,46,44,56,41,44,BF,0.334944444,0.036463617,0.326666667,0.4,0.266666667,1.5,0,0.558333333,0.441666667,0
47,53,50,53,54,58,51,58,58,52,41,51,54,56,43,47,51,58,58,41,49,49,53,40,43,56,56,48,54,43,53,43,58,55,52,49,53,56,50,59,56,54,43,47,58,58,41,52,45,49,58,55,51,55,41,54,41,54,49,52,47,55,44,47,47,56,50,53,55,43,54,40,43,47,58,50,54,56,51,40,41,42,58,59,47,49,50,51,50,40,57,44,46,41,57,59,43,50,53,51,46,56,49,55,55,45,58,40,58,53,47,42,55,55,48,54,49,41,47,47,BF,0.335166667,0.038737909,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
52,48,50,46,55,53,52,49,51,59,56,40,46,45,48,47,46,57,54,54,60,48,57,48,48,59,59,59,51,58,48,52,48,56,49,51,42,48,51,49,42,57,50,49,45,45,51,41,49,52,59,49,50,60,45,52,54,60,47,48,60,45,53,44,49,49,51,50,55,43,55,59,40,59,52,48,43,55,60,47,52,52,43,41,52,56,56,51,51,51,51,54,43,49,51,51,42,59,54,42,55,58,41,50,49,43,40,51,44,43,54,59,45,46,48,59,59,48,43,45,BF,0.336055556,0.035640029,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
58,49,47,60,51,47,51,60,40,44,46,43,45,48,57,53,50,50,58,52,42,50,47,51,49,48,50,50,49,51,54,57,58,40,55,52,55,60,40,50,40,51,51,48,43,49,58,60,42,53,54,48,50,59,47,56,57,51,49,53,51,47,43,51,41,48,52,48,53,42,57,53,45,59,45,53,50,55,53,47,47,55,59,48,48,59,48,40,60,60,57,48,50,56,58,42,52,54,55,60,60,40,58,43,50,46,43,46,50,54,44,41,54,45,42,52,47,44,48,55,BF,0.335611111,0.036611834,0.333333333,0.4,0.266666667,1.5,0,0.533333333,0.466666667,0
54,46,54,52,52,53,54,45,50,54,42,59,49,49,42,58,58,54,50,43,48,52,44,50,59,41,54,41,55,55,50,50,56,60,49,47,60,57,41,50,53,48,60,45,49,45,54,49,50,51,45,49,50,59,58,47,46,44,55,54,54,43,55,41,57,48,58,51,48,41,60,47,55,52,41,50,45,46,52,54,48,55,55,54,40,48,42,51,45,46,43,59,50,51,57,51,42,44,56,49,52,41,51,57,58,51,48,42,41,45,58,59,44,43,55,48,45,50,52,54,BF,0.336055556,0.03677469,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0
53,51,56,56,47,56,50,56,58,47,58,46,51,56,54,56,49,59,56,43,49,44,45,45,42,58,49,52,47,49,51,46,53,45,49,40,57,56,49,54,44,56,60,49,47,46,40,58,57,47,53,56,45,57,51,52,42,54,60,50,44,51,54,60,46,54,51,45,48,59,47,56,53,51,47,41,45,53,50,48,47,55,46,44,60,40,47,41,49,55,55,48,49,43,55,53,55,52,51,41,49,40,49,40,47,52,40,51,59,54,53,45,60,43,53,45,46,51,47,51,BF,0.335,0.036762035,0.333333333,0.4,0.266666667,1.5,0,0.525,0.475,0
48,57,48,60,50,56,56,53,42,50,51,44,51,52,47,49,47,41,54,60,60,52,45,49,44,58,54,46,50,51,46,49,57,53,40,46,58,51,46,59,58,40,50,42,49,44,57,50,53,58,49,54,54,50,43,54,57,53,52,57,50,46,56,50,51,58,49,52,42,48,59,40,41,59,49,55,48,42,50,58,51,58,60,40,60,53,47,42,49,43,50,57,59,51,41,51,54,49,55,60,60,40,57,43,44,50,56,57,46,43,45,58,58,60,60,56,48,47,47,47,BF,0.334833333,0.035900709,0.34,0.4,0.266666667,1.5,0,0.466666667,0.533333333,0
53,57,58,43,40,49,60,48,60,50,59,49,42,59,59,58,49,43,60,46,57,51,54,56,52,40,40,58,60,47,40,50,52,59,60,48,60,45,57,44,46,58,45,52,40,51,54,54,47,47,49,42,49,50,53,45,51,43,42,55,50,42,55,59,48,56,51,43,53,54,46,56,57,51,52,57,45,43,48,53,42,43,42,41,55,49,59,58,51,51,50,50,49,58,42,60,47,54,52,42,53,41,53,43,47,54,60,60,59,60,59,49,44,59,44,54,45,60,51,60,BF,0.333277778,0.036581218,0.333333333,0.4,0.266666667,1.5,0,0.533333333,0.466666667,0
51,57,58,42,50,60,42,44,53,56,52,50,52,55,41,50,43,48,50,50,48,59,55,53,59,51,57,42,57,40,43,55,50,54,52,60,46,50,50,52,51,57,56,53,48,54,56,45,57,40,51,49,41,49,52,60,46,50,49,51,46,58,44,40,55,54,59,49,46,51,56,57,42,52,50,60,54,51,44,49,55,58,48,46,48,50,52,42,53,43,49,53,49,51,41,52,41,49,55,48,47,48,40,45,46,52,44,48,51,57,59,50,43,51,54,55,48,45,45,50,BF,0.334611111,0.037774661,0.333333333,0.4,0.266666667,1.5,0,0.525,0.475,0
56,50,50,54,53,46,55,51,42,52,49,52,49,56,43,50,43,47,53,49,53,48,55,53,42,51,51,50,49,52,58,46,55,52,50,55,45,45,49,56,56,52,42,40,45,60,55,45,50,49,43,59,56,54,48,42,57,60,50,51,51,50,56,44,60,60,51,53,48,52,49,49,59,47,57,50,40,49,44,55,48,59,40,56,50,50,57,59,52,51,51,60,60,56,54,60,60,43,58,49,50,40,43,46,45,46,60,52,48,44,45,53,43,60,60,60,60,43,45,46,BF,0.333055556,0.033953842,0.333333333,0.4,0.266666667,1.5,0,0.55,0.45,0
54,48,50,51,54,53,52,58,43,57,48,40,49,53,51,59,40,58,48,49,58,43,60,45,54,54,60,46,56,44,50,53,45,53,40,55,47,44,48,44,57,53,46,44,47,57,60,40,50,54,57,58,42,51,55,50,48,60,55,47,48,56,50,52,41,42,45,50,58,49,53,56,53,48,43,53,51,54,54,53,48,43,54,44,44,40,53,41,54,45,56,50,44,49,56,54,48,50,45,46,46,60,48,57,45,48,48,43,54,57,57,48,55,57,52,47,48,44,51,51,BF,0.336222222,0.03582021,0.34,0.4,0.266666667,1.5,0,0.458333333,0.541666667,0
49,56,51,49,60,60,50,49,60,50,41,45,41,59,60,48,42,47,54,49,55,54,41,52,47,51,51,49,50,60,49,41,55,48,53,56,60,47,60,60,58,60,48,53,57,55,48,40,53,55,47,53,48,55,49,51,41,46,49,60,55,49,54,44,55,48,60,44,58,49,48,42,56,42,42,45,53,57,60,60,41,54,52,60,60,55,49,53,40,49,41,50,52,51,52,55,53,48,54,56,40,60,60,44,56,53,53,52,41,49,47,46,55,53,46,42,45,48,49,48,BF,0.335277778,0.035132358,0.34,0.4,0.266666667,1.5,0,0.475,0.525,0
57,47,53,54,52,49,49,51,58,48,53,52,51,46,47,55,49,49,41,54,51,51,45,43,46,58,45,58,56,52,52,50,53,52,45,56,54,55,40,54,41,50,47,48,59,44,58,55,42,51,44,54,54,41,50,41,53,53,54,42,47,48,58,52,40,60,47,43,55,43,49,54,54,46,49,58,58,46,53,50,56,47,43,49,47,58,47,46,42,45,45,58,46,57,52,45,53,48,47,57,45,49,54,45,54,47,49,50,58,54,53,52,53,43,58,47,42,59,45,46,BF,0.336,0.038090756,0.333333333,0.4,0.266666667,1.5,0,0.525,0.475,0
55,50,55,45,52,43,51,56,57,45,49,47,60,60,43,42,52,52,44,48,58,52,47,56,47,43,50,57,59,49,51,49,50,47,52,51,46,60,47,53,50,45,60,41,40,60,50,49,49,52,53,53,55,47,42,54,44,48,40,52,44,49,44,58,55,52,53,50,53,52,52,43,55,60,50,43,50,40,43,47,52,45,48,47,49,54,45,44,59,52,53,60,60,53,57,55,52,49,52,40,56,53,56,56,53,53,57,49,43,49,44,47,41,49,49,44,45,52,60,60,BF,0.339277778,0.035464592,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0
41,60,49,54,52,53,54,48,55,43,49,44,55,54,53,51,58,58,52,60,60,41,49,47,58,51,43,58,46,41,46,54,60,40,60,51,43,60,60,50,44,46,55,52,43,53,55,46,44,60,57,43,50,53,54,50,57,55,53,42,43,46,43,60,60,60,50,49,56,53,52,58,41,44,60,51,60,55,49,49,60,55,46,52,50,56,47,58,60,60,60,55,52,52,48,51,42,53,44,52,46,51,47,56,43,58,48,45,48,47,45,40,51,51,48,44,52,41,50,60,BF,0.335833333,0.035509497,0.333333333,0.393333333,0.266666667,1.475,0,0.516666667,0.483333333,0
55,52,54,46,52,58,40,43,50,49,47,60,54,49,56,52,42,54,41,56,60,49,52,41,52,46,60,49,40,56,54,45,59,59,41,50,48,41,55,40,47,55,46,54,54,56,41,59,59,60,49,48,49,40,53,60,46,52,51,49,56,51,51,41,45,47,56,48,45,59,50,49,50,41,44,55,56,49,60,48,49,60,56,52,60,48,49,49,41,55,42,42,55,42,60,40,52,49,52,41,51,48,53,59,59,50,60,54,40,45,55,55,41,51,60,45,44,47,49,60,BF,0.332277778,0.032476331,0.326666667,0.4,0.273333333,1.463414634,0,0.591666667,0.408333333,0
57,49,60,60,58,50,46,52,42,60,44,52,60,55,49,46,52,45,53,51,56,49,59,45,60,48,45,51,42,43,51,45,58,55,53,51,55,60,49,53,41,57,51,44,56,60,60,60,47,46,47,60,59,46,53,55,44,59,40,47,54,55,42,41,55,48,43,45,47,43,52,55,59,44,44,54,54,48,57,42,60,49,48,47,58,58,48,43,50,51,49,57,42,57,46,41,52,52,57,51,46,44,60,60,60,50,54,60,44,46,47,49,42,50,44,51,43,60,60,57,BF,0.332722222,0.038399306,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
50,56,54,51,50,50,54,55,41,47,59,51,48,54,40,54,44,48,50,51,56,60,43,60,52,54,59,51,40,53,56,44,41,55,52,46,48,57,60,60,60,46,52,44,45,52,46,53,45,57,54,44,52,50,56,57,44,49,51,57,56,44,53,50,50,51,50,53,42,46,43,47,57,47,40,56,57,49,57,48,54,41,56,59,51,44,50,50,46,55,50,49,40,57,40,53,40,49,49,60,46,60,52,52,56,59,48,43,57,60,60,60,47,46,42,45,52,60,60,52,BF,0.334722222,0.036401084,0.333333333,0.4,0.266666667,1.5,0,0.558333333,0.441666667,0
56,45,56,52,52,53,57,45,53,54,40,49,52,53,42,55,60,42,60,44,58,50,47,60,54,56,46,43,58,58,52,46,46,59,56,53,48,47,45,55,47,60,56,52,42,54,40,53,48,41,59,43,56,47,48,57,59,50,54,40,48,43,48,55,52,42,50,47,54,59,47,54,43,50,50,53,44,46,47,46,50,59,56,47,47,60,60,47,43,45,56,58,49,60,50,52,53,40,50,53,60,60,55,41,49,60,43,60,41,60,55,49,46,47,50,47,45,51,60,60,BF,0.335555556,0.036833928,0.336666667,0.4,0.266666667,1.5,0,0.5,0.5,0
57,44,50,55,55,54,50,52,41,49,48,54,50,46,48,59,58,50,54,50,43,50,51,45,46,49,50,50,50,42,58,42,51,50,55,59,44,50,41,57,53,55,50,47,50,58,53,52,47,50,54,52,55,50,53,52,48,50,40,41,40,47,45,43,55,52,51,58,57,41,43,52,58,57,50,48,52,45,54,40,52,57,41,50,60,57,50,47,54,50,59,41,49,53,40,54,57,45,57,52,53,55,59,48,41,43,46,43,55,42,48,47,46,52,59,52,58,45,59,60,BF,0.333111111,0.035254797,0.333333333,0.4,0.266666667,1.5,0,0.541666667,0.458333333,0
51,56,49,49,52,55,51,53,52,49,44,43,60,46,58,51,46,53,57,53,60,60,41,53,53,49,52,44,45,46,49,40,50,59,60,46,53,57,48,49,40,55,53,43,45,51,50,59,57,41,43,52,52,52,50,53,45,40,60,49,52,56,47,54,42,53,50,52,52,50,49,41,51,49,49,57,46,56,49,47,44,60,60,60,60,45,54,52,53,55,56,46,48,48,49,53,59,49,52,42,55,60,60,54,42,47,53,51,46,49,43,44,53,46,50,47,45,54,51,60,BF,0.332444444,0.034233595,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
59,54,43,56,56,51,51,55,54,52,51,41,43,47,51,58,47,58,48,54,52,53,41,58,51,45,48,52,41,48,45,50,52,54,44,56,51,48,43,60,57,53,40,60,42,48,51,50,50,56,42,59,49,45,51,54,44,45,46,54,53,53,56,43,60,60,56,51,54,56,40,50,59,59,51,51,51,50,49,41,58,51,60,53,40,50,41,52,47,54,60,60,52,52,44,48,46,46,52,52,49,59,55,42,48,53,56,43,57,51,42,41,48,58,56,47,44,47,47,47,BF,0.339611111,0.04115327,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
54,47,55,55,40,49,57,51,60,43,60,42,60,54,50,47,53,51,48,60,50,56,56,54,48,44,48,46,40,54,52,58,55,53,60,49,51,41,58,56,51,47,55,40,54,49,54,42,53,48,49,42,57,60,48,47,47,53,50,51,44,56,47,57,58,52,54,42,52,43,51,54,52,40,46,50,54,41,54,49,50,52,54,43,54,54,43,42,48,46,51,49,58,55,46,56,49,42,47,51,44,43,55,54,48,52,55,57,51,60,60,42,52,44,45,47,48,43,44,60,BF,0.335944444,0.034498361,0.34,0.4,0.266666667,1.5,0,0.475,0.525,0
47,58,49,54,48,51,51,56,47,50,54,52,50,58,58,56,51,58,48,51,56,54,51,44,50,53,47,45,41,56,53,44,51,40,57,47,56,52,52,46,51,55,48,56,44,42,41,47,46,51,52,55,47,47,51,48,46,53,52,58,55,47,49,42,55,59,40,49,57,48,51,46,50,57,60,42,44,47,46,42,60,45,58,54,51,43,49,59,54,52,60,60,59,47,43,50,53,47,42,45,50,46,56,60,48,47,60,60,47,51,52,50,41,47,44,53,43,46,50,54,BF,0.334333333,0.036725443,0.333333333,0.4,0.266666667,1.5,0,0.541666667,0.458333333,0
54,49,56,48,51,46,58,41,50,58,50,52,53,53,52,44,47,55,56,53,60,50,59,59,55,43,50,48,59,51,41,51,47,52,40,50,59,55,41,45,51,47,60,47,57,51,52,53,44,40,46,54,43,42,59,50,57,47,53,44,60,56,54,46,59,40,59,49,41,47,54,57,49,52,47,43,52,57,59,51,50,51,41,55,58,44,51,45,41,60,40,52,49,41,51,49,51,48,58,46,49,44,51,51,55,50,53,44,56,52,46,53,58,48,46,44,45,60,44,45,BF,0.339444444,0.040293817,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
58,51,50,52,55,54,41,56,54,51,41,48,48,55,51,55,56,46,49,59,51,55,51,53,54,52,51,42,48,56,57,50,56,47,47,52,59,48,48,54,55,43,48,46,48,47,54,43,48,40,48,55,50,47,57,58,46,50,44,48,52,60,46,48,52,49,55,52,49,43,57,56,48,54,50,51,44,52,54,50,49,44,43,56,42,52,48,44,49,49,46,54,59,59,54,56,57,50,46,50,56,56,40,52,40,50,55,59,49,45,42,47,47,44,60,53,43,43,42,54,BF,0.339611111,0.041962108,0.33,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
49,49,52,47,59,45,57,43,52,52,54,52,49,57,49,44,48,52,49,49,51,53,44,50,46,57,59,50,49,58,57,48,49,43,57,41,45,51,40,50,49,54,58,58,51,54,53,53,56,49,55,52,57,59,60,44,55,41,52,53,53,52,54,58,52,49,40,56,46,52,50,52,57,43,57,53,59,52,41,41,51,41,44,44,48,54,45,54,46,40,43,50,51,46,58,53,49,48,59,43,51,45,43,50,49,50,54,46,60,41,49,44,53,53,54,48,50,50,50,48,BF,0.336166667,0.037975495,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
59,59,53,43,58,53,51,54,51,50,49,55,53,42,51,56,45,40,50,53,53,50,44,44,54,46,41,54,55,52,51,47,54,55,41,57,52,42,59,41,52,49,42,57,56,53,51,57,56,51,54,50,49,42,50,40,51,51,51,55,55,59,51,49,59,55,42,46,48,40,43,51,44,54,44,52,53,49,56,50,40,48,55,51,59,44,50,51,54,53,44,41,57,58,47,49,45,59,59,45,45,50,40,56,58,47,60,49,46,41,48,42,50,44,45,52,59,59,52,59,BF,0.335833333,0.039719488,0.333333333,0.4,0.266666667,1.5,0,0.508333333,0.491666667,0
51,59,52,57,41,57,50,53,53,44,40,50,58,53,51,55,42,51,52,51,56,44,53,50,51,41,49,57,49,56,52,50,42,44,49,51,43,47,55,46,54,49,59,55,41,55,46,57,51,40,56,56,47,46,48,48,46,56,57,42,53,45,58,47,55,43,52,54,40,54,59,60,55,46,50,56,49,49,55,56,43,51,42,59,59,53,52,46,57,46,56,51,47,45,43,51,53,46,54,53,43,44,54,48,58,48,48,55,49,44,52,46,45,59,59,43,53,60,60,54,BF,0.335611111,0.036622034,0.333333333,0.4,0.266666667,1.5,0,0.541666667,0.458333333,0
53,57,42,51,51,53,50,58,50,52,42,47,58,59,47,50,56,51,50,55,53,54,44,40,51,44,50,50,51,49,40,50,51,48,50,56,48,57,47,53,44,45,51,45,59,51,57,50,40,50,55,46,50,58,45,54,52,53,42,40,49,49,59,57,42,51,51,50,49,58,48,42,42,50,50,59,43,54,60,53,45,52,58,56,53,59,48,41,45,43,46,54,51,57,40,53,42,50,51,41,42,50,52,57,50,50,52,48,56,46,48,48,50,49,57,43,51,46,50,43,BF,0.338611111,0.038456648,0.34,0.4,0.266666667,1.5,0,0.45,0.55,0
51,44,55,48,57,45,57,51,51,51,49,56,50,42,53,57,45,51,56,55,47,42,52,58,48,54,45,51,40,52,49,49,46,59,47,57,46,53,46,51,50,60,47,54,58,49,46,46,53,47,50,54,40,51,48,46,56,51,52,51,53,50,45,52,52,53,49,53,45,45,53,55,54,56,40,42,46,56,51,43,53,50,49,48,57,44,57,48,49,49,57,44,47,47,51,54,48,44,53,51,57,55,55,52,45,42,53,57,49,49,44,45,49,57,44,60,58,60,60,40,BF,0.338833333,0.039743928,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
60,46,60,60,58,46,46,48,47,44,55,47,52,51,56,49,59,51,52,40,45,57,57,50,43,44,60,48,53,53,46,53,57,44,49,53,41,48,60,42,60,40,50,48,60,47,53,42,50,49,56,60,45,44,53,56,41,48,57,57,51,49,45,57,56,52,48,56,51,53,42,51,53,48,44,46,56,40,58,48,46,49,54,42,48,60,53,56,57,50,53,53,42,46,43,49,52,52,41,46,44,53,58,44,49,49,60,60,43,46,45,54,56,60,47,60,60,60,60,60,BF,0.336333333,0.037462462,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
49,54,51,58,58,47,47,47,49,41,57,54,51,46,57,52,52,52,57,42,52,46,47,47,54,53,43,51,49,54,47,60,47,46,41,60,51,58,50,44,53,51,47,59,47,58,43,45,50,53,45,40,50,58,60,50,40,41,58,42,48,51,58,55,48,50,56,54,47,44,49,51,58,54,47,52,44,54,47,51,53,51,50,54,53,51,47,58,41,45,52,46,45,51,44,49,58,51,54,58,58,58,60,41,53,48,51,54,43,53,45,46,46,49,47,45,47,58,50,60,BF,0.336,0.036814319,0.333333333,0.4,0.266666667,1.5,0,0.525,0.475,0
43,60,54,52,53,54,52,58,47,51,46,40,53,48,54,44,48,47,56,49,60,41,54,47,55,48,50,52,44,54,52,43,47,60,48,58,41,45,55,60,60,44,50,49,59,58,44,56,52,43,51,55,42,50,57,60,49,41,48,48,55,59,48,53,55,56,44,48,42,55,53,50,42,55,57,53,53,50,47,55,50,42,43,46,43,55,47,55,60,46,46,60,48,55,44,47,49,45,49,44,52,40,40,60,60,49,57,44,58,47,52,50,48,48,55,60,45,45,47,60,BF,0.335555556,0.038441471,0.34,0.4,0.266666667,1.5,0,0.483333333,0.516666667,0
60,49,41,55,50,58,50,55,57,49,49,49,52,55,49,51,49,50,53,51,58,50,42,45,47,60,40,52,58,48,41,40,53,52,56,51,42,49,43,58,55,48,51,53,46,58,49,53,56,43,58,48,53,54,44,48,60,55,49,59,41,50,43,51,54,60,60,46,55,47,51,59,46,55,41,45,52,50,55,48,52,53,50,43,54,41,51,44,50,45,49,45,57,51,60,44,49,54,52,42,50,52,43,48,47,46,50,52,53,50,42,50,45,55,53,60,41,50,48,60,BF,0.335611111,0.038326289,0.34,0.4,0.266666667,1.5,0,0.483333333,0.516666667,0
53,55,59,54,60,46,59,48,56,52,42,51,42,59,52,40,58,49,44,55,52,46,56,40,51,48,51,45,53,52,43,49,57,58,52,51,54,52,58,56,45,44,53,42,46,57,51,58,54,53,41,50,54,54,47,53,53,43,53,44,51,51,49,41,48,58,43,40,55,48,50,56,47,48,51,51,47,40,44,54,51,54,60,46,43,49,47,45,47,51,52,59,47,52,46,52,49,44,52,49,59,44,58,47,47,45,53,43,59,55,52,51,43,47,57,52,49,60,60,44,BF,0.336222222,0.036746624,0.34,0.4,0.266666667,1.5,0,0.491666667,0.508333333,0
49,59,55,52,42,54,55,49,46,58,60,55,50,55,45,49,57,52,41,51,47,57,51,50,53,49,47,59,42,60,46,52,56,47,55,49,60,58,48,55,50,43,52,53,50,41,48,47,51,54,44,52,58,54,55,45,53,48,49,50,45,55,60,45,57,50,44,51,41,48,51,42,40,53,51,48,54,48,48,42,60,58,43,42,47,53,53,60,45,46,46,48,44,50,52,58,50,49,54,42,60,50,49,56,55,52,43,44,45,40,50,51,51,57,60,42,45,47,49,60,BF,0.336388889,0.03753264,0.34,0.4,0.266666667,1.5,0,0.483333333,0.516666667,0
49,52,49,60,60,53,54,50,53,49,46,43,54,51,59,49,47,54,57,49,52,44,47,44,54,47,60,49,54,43,40,47,45,60,53,45,43,54,60,45,52,47,45,51,59,51,57,53,60,47,51,53,46,48,55,43,52,40,57,58,47,44,52,48,41,52,49,40,60,41,48,58,51,52,51,57,52,49,54,49,44,50,51,47,58,47,55,50,53,41,52,48,58,42,40,53,56,52,53,60,60,41,50,56,51,46,49,45,59,59,60,47,60,50,49,44,46,56,45,59,BF,0.335666667,0.035557715,0.333333333,0.4,0.266666667,1.5,0,0.55,0.45,0
55,54,57,52,45,52,52,41,51,51,49,48,58,43,55,55,50,41,40,54,52,55,51,49,50,53,43,57,52,55,50,46,51,51,54,54,55,50,41,49,49,45,40,51,57,57,55,51,59,48,44,51,51,48,59,46,51,43,53,58,45,50,56,51,54,46,50,57,48,53,46,50,57,45,54,59,50,51,43,48,51,47,44,58,51,48,41,43,44,42,56,55,51,43,42,56,59,52,47,54,50,60,58,58,49,48,48,43,46,54,47,52,44,51,49,52,53,54,43,49,BF,0.333222222,0.037503646,0.333333333,0.4,0.266666667,1.5,0,0.516666667,0.483333333,0
